names1,names2,names3,newnames,desc
PSU_P,PSU_P,PPSU,psu,NA
STRAT_P,STRAT_P,PSTRAT,pstrat,NA
WTFA_SA,WTFA_SA,WTFA_SA,wtfa_sa,NA
MRACBPI2,MRACBPI2,MRACBPI2,race,NA
SEX,SEX,SEX,sex,NA
AGE_P,AGE_P,AGE_P,age,NA
R_MARITL,R_MARITL,R_MARITL,marital,NA
BMI,BMI,BMI,bmi,NA
AHEIGHT,AHEIGHT,AHEIGHT,height,NA
AWEIGHTP,AWEIGHTP,AWEIGHTP,weight,NA
SMKSTAT2,SMKSTAT2,SMKSTAT2,smoke,NA
SAD,ASISAD,ASISAD,sad,NA
NERVOUS,ASINERV,ASINERV,nervous,NA
RESTLESS,ASIRSTLS,ASIRSTLS,restless,NA
HOPELESS,ASIHOPLS,ASIHOPLS,hopeless,NA
EFFORT,ASIEFFRT,ASIEFFRT,effort,NA
WORTHLS,ASIWTHLS,ASIWTHLS,worthless,NA
SPECEQ,SPECEQ,SPECEQ,NA,NA
ALCSTAT,ALCSTAT,ALCSTAT,alcohol,NA
AHCSYR1,AHCSYR1,AHCSYR1,mentalutil,NA
CHDEV,CHDEV,CHDEV,NA,NA
ANGEV,ANGEV,ANGEV,NA,NA
MIEV,MIEV,MIEV,NA,NA
HRTEV,HRTEV,HRTEV,heart,NA
STREV,STREV,STREV,stroke,NA
CANEV,CANEV,CANEV,cancer,NA
EPHEV,EPHEV,EPHEV,lung,NA
DIBEV,DIBEV,DIBEV1,diabetes,NA
HYPEV,HYPEV,HYPEV,hypertension,NA
HISPAN_I,HISPAN_I,HISPAN_I,hispanic,NA
